Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Staphylococcus aureus infection	16/95	1.694891e-11	2.926620e-09	0	0	1.131573e+01	2.806394e+02	C1QB;ITGAM;ITGB2;FPR3;ITGAL;ICAM1;HLA-DMA;HLA-DMB;FCGR2A;HLA-DOA;FCGR2B;FCGR2C;CFB;HLA-DPA1;HLA-DQB1;C1QC
KEGG_2021_Human	Cell adhesion molecules	19/148	3.001661e-11	2.926620e-09	0	0	8.279047e+00	2.005953e+02	CD274;ITGAM;ITGB2;NRXN3;HLA-F;ITGAL;ICAM1;CD2;HLA-DMA;PTPRC;HLA-DMB;SELL;CD8A;CD28;SIGLEC1;HLA-DOA;ICOS;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Primary immunodeficiency	11/38	5.131436e-11	3.335433e-09	0	0	2.250151e+01	5.331295e+02	CIITA;PTPRC;CD8A;LCK;TAP1;CD3E;IL2RG;ICOS;IL7R;CD3D;JAK3
KEGG_2021_Human	Tuberculosis	20/180	1.290319e-10	6.290305e-09	0	0	7.035405e+00	1.602029e+02	CIITA;ITGAM;FCER1G;STAT1;IL10RA;ITGB2;LSP1;CORO1A;CTSS;HLA-DMA;HLA-DMB;FCGR2A;CD209;MRC1;ITGAX;HLA-DOA;FCGR2B;FCGR2C;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Viral myocarditis	12/60	7.488152e-10	2.920379e-08	0	0	1.383192e+01	2.906436e+02	HLA-DMA;HLA-DMB;ITGB2;PRF1;RAC2;CD28;ITGAL;HLA-DOA;HLA-F;ICAM1;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Th1 and Th2 cell differentiation	14/92	1.277726e-09	4.152610e-08	0	0	9.971737e+00	2.042031e+02	STAT1;CD3E;IL2RG;CD3D;RUNX3;HLA-DMA;HLA-DMB;LCK;PRKCQ;HLA-DOA;IL12RB1;JAK3;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Phagosome	17/152	2.903687e-09	8.088843e-08	0	0	7.035615e+00	1.383011e+02	ITGAM;ITGB2;TAP1;HLA-F;CORO1A;CTSS;HLA-DMA;HLA-DMB;FCGR2A;CD209;MRC1;HLA-DOA;SEC22B;FCGR2B;FCGR2C;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Type I diabetes mellitus	10/43	4.175155e-09	1.017694e-07	0	0	1.668454e+01	3.219135e+02	HLA-DMA;HLA-DMB;ICA1;PRF1;CD28;GZMB;HLA-DOA;HLA-F;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Chemokine signaling pathway	18/192	1.667630e-08	3.371964e-07	0	0	5.784780e+00	1.036012e+02	CCR1;ITK;CCL13;CXCL9;STAT1;CXCR6;PIK3CG;PIK3R5;FGR;CXCL10;CCL8;CCL5;RAC2;XCL2;XCL1;CCL18;JAK3;CCR2
KEGG_2021_Human	Antigen processing and presentation	12/78	1.729212e-08	3.371964e-07	0	0	1.005033e+01	1.796298e+02	CIITA;HLA-DMA;HLA-DMB;CD8A;HSPA6;TAP1;HLA-DOA;HLA-F;B2M;CTSS;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Allograft rejection	9/38	2.129272e-08	3.774619e-07	0	0	1.704289e+01	3.010609e+02	HLA-DMA;HLA-DMB;PRF1;CD28;GZMB;HLA-DOA;HLA-F;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Hematopoietic cell lineage	13/99	3.125039e-08	5.078189e-07	0	0	8.370907e+00	1.446596e+02	ITGAM;CD1C;CD3E;CD1B;CD3D;CD2;HLA-DMA;HLA-DMB;CD8A;HLA-DOA;IL7R;HLA-DPA1;HLA-DQB1
KEGG_2021_Human	Autoimmune thyroid disease	10/53	3.608945e-08	5.413418e-07	0	0	1.279788e+01	2.193207e+02	HLA-DMA;HLA-DMB;TG;PRF1;CD28;GZMB;HLA-DOA;HLA-F;HLA-DPA1;HLA-DQB1
